Application_ID,Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Income,Application_Status,,,Gini Index Calculation – Married,,,,,,,Entropy & Information Gain Calculation – Married,,,
,,,,,,,,,,,,G & Loan_Y,5,Total G,8,,,,,,,
,,,,,,,,,,,,G & Loan_N,3,Total G,8,,,,,,,
,,,,,,,,,,,,UG & Loan_Y,2,Total UG,2,,,,,,,
,,,,,,,,,,,,UG & Loan_N,0,Total UG,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Gini G,1 – ((G & App_Y/Total Married_Yes)**2 + (G & App_No)**2),,,,,,,,,
,,,,,,,,,,,,,0.46875,,,,,,,,,
,,,,,,,,,,,,Gini UG,1 – ((UG & App_Y/Total Married_Yes)**2 + (UG & App_No)**2),,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Gini for Education,(Gini Married_Yes) * (Married_Yes/Total) + (Gini Married_No) * (Married_No/Total),,,,,,,,,
,,,,,,,,,,,,,0.375,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Gini Index Calculation – Income,,,,,,,,,,
,,,,,,,,,,,,,App_Y,App_N,,,,,,,,
,,,,,,,,,,,,high,0,1,1,,,,,,,
,,,,,,,,,,,,med,4,1,5,,,,,,,
,,,,,,,,,,,,low,3,1,4,,,,,,,
,,,,,,,,,,,,,7,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,high & Loan_Y,0,Total high,1,,,,,,,
,,,,,,,,,,,,high & Loan_N,1,Total high,1,,,,,,,
,,,,,,,,,,,,med & Loan_Y,4,Total med,5,,,,,,,
,,,,,,,,,,,,med & Loan_N,1,Total med,5,,,,,,,
,,,,,,,,,,,,low & Loan_Y,3,Total low,4,,,,,,,
,,,,,,,,,,,,low & Loan_N,1,Total low,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Gini high,1 – ((high & App_Y/Total Married_Yes)**2 + (high & App_No)**2),,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,Gini med,1 – ((med & App_Y/Total Married_Yes)**2 + (med & App_No)**2),,,,,,,,,
,,,,,,,,,,,,,0.32,,,,,,,,,
,,,,,,,,,,,,Gini low,1 – ((low & App_Y/Total Married_Yes)**2 + (low & App_No)**2),,,,,,,,,
,,,,,,,,,,,,,0.4444444444,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Gini for Income,(Gini high * (high/Total)) + (Gini med * (med/Total)) + (Gini low * (low/Total)),,,,,,,,,
,,,,,,,,,,,,,0.336,,,,,,,,,
